id;Country Name;Country Code;Indicator Name;Indicator Code;1965
Chile-1965;Chile;CHL;GDP (current US$);NY.GDP.MKTP.CD;6026593750
China-1965;China;CHN;GDP (current US$);NY.GDP.MKTP.CD;70436266146
Cote d'Ivoire-1965;Cote d'Ivoire;CIV;GDP (current US$);NY.GDP.MKTP.CD;919771356
Cameroon-1965;Cameroon;CMR;GDP (current US$);NY.GDP.MKTP.CD;814139855
Congo-1965;Congo;COD;GDP (current US$);NY.GDP.MKTP.CD;4043901818
Congo-1965;Congo;COG;GDP (current US$);NY.GDP.MKTP.CD;198318063
Colombia-1965;Colombia;COL;GDP (current US$);NY.GDP.MKTP.CD;5760761904
Comoros-1965;Comoros;COM;GDP (current US$);NY.GDP.MKTP.CD;
Cabo Verde-1965;Cabo Verde;CPV;GDP (current US$);NY.GDP.MKTP.CD;
Costa Rica-1965;Costa Rica;CRI;GDP (current US$);NY.GDP.MKTP.CD;592981162
Caribbean small states-1965;Caribbean small states;CSS;GDP (current US$);NY.GDP.MKTP.CD;2660946063
Cuba-1965;Cuba;CUB;GDP (current US$);NY.GDP.MKTP.CD;
Curacao-1965;Curacao;CUW;GDP (current US$);NY.GDP.MKTP.CD;
Cayman Islands-1965;Cayman Islands;CYM;GDP (current US$);NY.GDP.MKTP.CD;
Cyprus-1965;Cyprus;CYP;GDP (current US$);NY.GDP.MKTP.CD;
Czech Republic-1965;Czech Republic;CZE;GDP (current US$);NY.GDP.MKTP.CD;
Germany-1965;Germany;DEU;GDP (current US$);NY.GDP.MKTP.CD;
Djibouti-1965;Djibouti;DJI;GDP (current US$);NY.GDP.MKTP.CD;
Dominica-1965;Dominica;DMA;GDP (current US$);NY.GDP.MKTP.CD;
Denmark-1965;Denmark;DNK;GDP (current US$);NY.GDP.MKTP.CD;
Dominican Republic-1965;Dominican Republic;DOM;GDP (current US$);NY.GDP.MKTP.CD;888100000
Algeria-1965;Algeria;DZA;GDP (current US$);NY.GDP.MKTP.CD;3136258896
East Asia & Pacific (excluding high income)-1965;East Asia & Pacific (excluding high income);EAP;GDP (current US$);NY.GDP.MKTP.CD;94581254563
Early-demographic dividend-1965;Early-demographic dividend;EAR;GDP (current US$);NY.GDP.MKTP.CD;209371590635
East Asia & Pacific-1965;East Asia & Pacific;EAS;GDP (current US$);NY.GDP.MKTP.CD;224575551901
Europe & Central Asia (excluding high income)-1965;Europe & Central Asia (excluding high income);ECA;GDP (current US$);NY.GDP.MKTP.CD;
Europe & Central Asia-1965;Europe & Central Asia;ECS;GDP (current US$);NY.GDP.MKTP.CD;
Ecuador-1965;Ecuador;ECU;GDP (current US$);NY.GDP.MKTP.CD;2387048255
Egypt-1965;Egypt;EGY;GDP (current US$);NY.GDP.MKTP.CD;4948667540
Euro area-1965;Euro area;EMU;GDP (current US$);NY.GDP.MKTP.CD;407845696622
Eritrea-1965;Eritrea;ERI;GDP (current US$);NY.GDP.MKTP.CD;
Spain-1965;Spain;ESP;GDP (current US$);NY.GDP.MKTP.CD;24756958694
Estonia-1965;Estonia;EST;GDP (current US$);NY.GDP.MKTP.CD;
Ethiopia-1965;Ethiopia;ETH;GDP (current US$);NY.GDP.MKTP.CD;
European Union-1965;European Union;EUU;GDP (current US$);NY.GDP.MKTP.CD;
Fragile and conflict affected situations-1965;Fragile and conflict affected situations;FCS;GDP (current US$);NY.GDP.MKTP.CD;22034941960
Finland-1965;Finland;FIN;GDP (current US$);NY.GDP.MKTP.CD;8589340019
Fiji-1965;Fiji;FJI;GDP (current US$);NY.GDP.MKTP.CD;147084750
France-1965;France;FRA;GDP (current US$);NY.GDP.MKTP.CD;101537248148
Faroe Islands-1965;Faroe Islands;FRO;GDP (current US$);NY.GDP.MKTP.CD;
Micronesia-1965;Micronesia;FSM;GDP (current US$);NY.GDP.MKTP.CD;
Gabon-1965;Gabon;GAB;GDP (current US$);NY.GDP.MKTP.CD;226474285
United Kingdom-1965;United Kingdom;GBR;GDP (current US$);NY.GDP.MKTP.CD;101824755078
Georgia-1965;Georgia;GEO;GDP (current US$);NY.GDP.MKTP.CD;
Ghana-1965;Ghana;GHA;GDP (current US$);NY.GDP.MKTP.CD;2053462872
Gibraltar-1965;Gibraltar;GIB;GDP (current US$);NY.GDP.MKTP.CD;
Guinea-1965;Guinea;GIN;GDP (current US$);NY.GDP.MKTP.CD;
Gambia-1965;Gambia;GMB;GDP (current US$);NY.GDP.MKTP.CD;
Guinea-Bissau-1965;Guinea-Bissau;GNB;GDP (current US$);NY.GDP.MKTP.CD;
Equatorial Guinea-1965;Equatorial Guinea;GNQ;GDP (current US$);NY.GDP.MKTP.CD;64748333
Greece-1965;Greece;GRC;GDP (current US$);NY.GDP.MKTP.CD;7689154053
Grenada-1965;Grenada;GRD;GDP (current US$);NY.GDP.MKTP.CD;
Greenland-1965;Greenland;GRL;GDP (current US$);NY.GDP.MKTP.CD;
Guatemala-1965;Guatemala;GTM;GDP (current US$);NY.GDP.MKTP.CD;1331399900
Guam-1965;Guam;GUM;GDP (current US$);NY.GDP.MKTP.CD;
Guyana-1965;Guyana;GUY;GDP (current US$);NY.GDP.MKTP.CD;213235294
High income-1965;High income;HIC;GDP (current US$);NY.GDP.MKTP.CD;1550792874026
Hong Kong China-1965;Hong Kong China;HKG;GDP (current US$);NY.GDP.MKTP.CD;2435078534
Honduras-1965;Honduras;HND;GDP (current US$);NY.GDP.MKTP.CD;508650000
Heavily indebted poor countries (HIPC)-1965;Heavily indebted poor countries (HIPC);HPC;GDP (current US$);NY.GDP.MKTP.CD;24380468450
Croatia-1965;Croatia;HRV;GDP (current US$);NY.GDP.MKTP.CD;
Haiti-1965;Haiti;HTI;GDP (current US$);NY.GDP.MKTP.CD;353251800
Hungary-1965;Hungary;HUN;GDP (current US$);NY.GDP.MKTP.CD;
IBRD only-1965;IBRD only;IBD;GDP (current US$);NY.GDP.MKTP.CD;401064461680
IDA & IBRD total-1965;IDA & IBRD total;IBT;GDP (current US$);NY.GDP.MKTP.CD;454165650874
IDA total-1965;IDA total;IDA;GDP (current US$);NY.GDP.MKTP.CD;53602178177
IDA blend-1965;IDA blend;IDB;GDP (current US$);NY.GDP.MKTP.CD;17328250572
Indonesia-1965;Indonesia;IDN;GDP (current US$);NY.GDP.MKTP.CD;
IDA only-1965;IDA only;IDX;GDP (current US$);NY.GDP.MKTP.CD;37694453113
Isle of Man-1965;Isle of Man;IMN;GDP (current US$);NY.GDP.MKTP.CD;
India-1965;India;IND;GDP (current US$);NY.GDP.MKTP.CD;59554854574
Not classified-1965;Not classified;INX;GDP (current US$);NY.GDP.MKTP.CD;
Ireland-1965;Ireland;IRL;GDP (current US$);NY.GDP.MKTP.CD;2945704142
Iran-1965;Iran;IRN;GDP (current US$);NY.GDP.MKTP.CD;6197319929
Iraq-1965;Iraq;IRQ;GDP (current US$);NY.GDP.MKTP.CD;
Iceland-1965;Iceland;ISL;GDP (current US$);NY.GDP.MKTP.CD;523694949
Israel-1965;Israel;ISR;GDP (current US$);NY.GDP.MKTP.CD;3663333333
Italy-1965;Italy;ITA;GDP (current US$);NY.GDP.MKTP.CD;67978153850
Jamaica-1965;Jamaica;JAM;GDP (current US$);NY.GDP.MKTP.CD;972140557
Jordan-1965;Jordan;JOR;GDP (current US$);NY.GDP.MKTP.CD;599831979
Japan-1965;Japan;JPN;GDP (current US$);NY.GDP.MKTP.CD;90950278257
Kazakhstan-1965;Kazakhstan;KAZ;GDP (current US$);NY.GDP.MKTP.CD;
Kenya-1965;Kenya;KEN;GDP (current US$);NY.GDP.MKTP.CD;997919319
Kyrgyz Republic-1965;Kyrgyz Republic;KGZ;GDP (current US$);NY.GDP.MKTP.CD;
Cambodia-1965;Cambodia;KHM;GDP (current US$);NY.GDP.MKTP.CD;868571428
Kiribati-1965;Kiribati;KIR;GDP (current US$);NY.GDP.MKTP.CD;
St. Kitts and Nevis-1965;St. Kitts and Nevis;KNA;GDP (current US$);NY.GDP.MKTP.CD;13593932
Korea-1965;Korea;KOR;GDP (current US$);NY.GDP.MKTP.CD;3120833333
Kuwait-1965;Kuwait;KWT;GDP (current US$);NY.GDP.MKTP.CD;2097451694
Latin America & Caribbean (excluding high income)-1965;Latin America & Caribbean (excluding high income);LAC;GDP (current US$);NY.GDP.MKTP.CD;105189609504
Lao PDR-1965;Lao PDR;LAO;GDP (current US$);NY.GDP.MKTP.CD;
Lebanon-1965;Lebanon;LBN;GDP (current US$);NY.GDP.MKTP.CD;
Liberia-1965;Liberia;LBR;GDP (current US$);NY.GDP.MKTP.CD;
Libya-1965;Libya;LBY;GDP (current US$);NY.GDP.MKTP.CD;
St. Lucia-1965;St. Lucia;LCA;GDP (current US$);NY.GDP.MKTP.CD;
Latin America & Caribbean-1965;Latin America & Caribbean;LCN;GDP (current US$);NY.GDP.MKTP.CD;118563293437
Least developed countries: UN classification-1965;Least developed countries: UN classification;LDC;GDP (current US$);NY.GDP.MKTP.CD;
Low income-1965;Low income;LIC;GDP (current US$);NY.GDP.MKTP.CD;
Liechtenstein-1965;Liechtenstein;LIE;GDP (current US$);NY.GDP.MKTP.CD;
Sri Lanka-1965;Sri Lanka;LKA;GDP (current US$);NY.GDP.MKTP.CD;1698319327
Lower middle income-1965;Lower middle income;LMC;GDP (current US$);NY.GDP.MKTP.CD;131176268028
Low & middle income-1965;Low & middle income;LMY;GDP (current US$);NY.GDP.MKTP.CD;432947252588
Lesotho-1965;Lesotho;LSO;GDP (current US$);NY.GDP.MKTP.CD;54878902
Late-demographic dividend-1965;Late-demographic dividend;LTE;GDP (current US$);NY.GDP.MKTP.CD;236617311165
Lithuania-1965;Lithuania;LTU;GDP (current US$);NY.GDP.MKTP.CD;
Luxembourg-1965;Luxembourg;LUX;GDP (current US$);NY.GDP.MKTP.CD;921600736
Latvia-1965;Latvia;LVA;GDP (current US$);NY.GDP.MKTP.CD;
Macao China-1965;Macao China;MAC;GDP (current US$);NY.GDP.MKTP.CD;
St. Martin (French part)-1965;St. Martin (French part);MAF;GDP (current US$);NY.GDP.MKTP.CD;
Morocco-1965;Morocco;MAR;GDP (current US$);NY.GDP.MKTP.CD;2948325264
Monaco-1965;Monaco;MCO;GDP (current US$);NY.GDP.MKTP.CD;
Moldova-1965;Moldova;MDA;GDP (current US$);NY.GDP.MKTP.CD;
Madagascar-1965;Madagascar;MDG;GDP (current US$);NY.GDP.MKTP.CD;833563472
Maldives-1965;Maldives;MDV;GDP (current US$);NY.GDP.MKTP.CD;
Middle East & North Africa-1965;Middle East & North Africa;MEA;GDP (current US$);NY.GDP.MKTP.CD;
Mexico-1965;Mexico;MEX;GDP (current US$);NY.GDP.MKTP.CD;21840000000
Marshall Islands-1965;Marshall Islands;MHL;GDP (current US$);NY.GDP.MKTP.CD;
Middle income-1965;Middle income;MIC;GDP (current US$);NY.GDP.MKTP.CD;415008741502
North Macedonia-1965;North Macedonia;MKD;GDP (current US$);NY.GDP.MKTP.CD;
Mali-1965;Mali;MLI;GDP (current US$);NY.GDP.MKTP.CD;
Malta-1965;Malta;MLT;GDP (current US$);NY.GDP.MKTP.CD;
Myanmar-1965;Myanmar;MMR;GDP (current US$);NY.GDP.MKTP.CD;
Middle East & North Africa (excluding high income)-1965;Middle East & North Africa (excluding high income);MNA;GDP (current US$);NY.GDP.MKTP.CD;
Montenegro-1965;Montenegro;MNE;GDP (current US$);NY.GDP.MKTP.CD;
Mongolia-1965;Mongolia;MNG;GDP (current US$);NY.GDP.MKTP.CD;
Northern Mariana Islands-1965;Northern Mariana Islands;MNP;GDP (current US$);NY.GDP.MKTP.CD;
Mozambique-1965;Mozambique;MOZ;GDP (current US$);NY.GDP.MKTP.CD;
Mauritania-1965;Mauritania;MRT;GDP (current US$);NY.GDP.MKTP.CD;255340526
Mauritius-1965;Mauritius;MUS;GDP (current US$);NY.GDP.MKTP.CD;
Malawi-1965;Malawi;MWI;GDP (current US$);NY.GDP.MKTP.CD;229455410
Malaysia-1965;Malaysia;MYS;GDP (current US$);NY.GDP.MKTP.CD;2956356984
North America-1965;North America;NAC;GDP (current US$);NY.GDP.MKTP.CD;798329518629
Namibia-1965;Namibia;NAM;GDP (current US$);NY.GDP.MKTP.CD;
New Caledonia-1965;New Caledonia;NCL;GDP (current US$);NY.GDP.MKTP.CD;159594493
Niger-1965;Niger;NER;GDP (current US$);NY.GDP.MKTP.CD;673383604
Nigeria-1965;Nigeria;NGA;GDP (current US$);NY.GDP.MKTP.CD;5874422511
Nicaragua-1965;Nicaragua;NIC;GDP (current US$);NY.GDP.MKTP.CD;566542872
Netherlands-1965;Netherlands;NLD;GDP (current US$);NY.GDP.MKTP.CD;21000586933
Norway-1965;Norway;NOR;GDP (current US$);NY.GDP.MKTP.CD;8058681060
Nepal-1965;Nepal;NPL;GDP (current US$);NY.GDP.MKTP.CD;735267082
Nauru-1965;Nauru;NRU;GDP (current US$);NY.GDP.MKTP.CD;
New Zealand-1965;New Zealand;NZL;GDP (current US$);NY.GDP.MKTP.CD;5654463586
OECD members-1965;OECD members;OED;GDP (current US$);NY.GDP.MKTP.CD;1557930975997
Oman-1965;Oman;OMN;GDP (current US$);NY.GDP.MKTP.CD;63287594
Other small states-1965;Other small states;OSS;GDP (current US$);NY.GDP.MKTP.CD;
Pakistan-1965;Pakistan;PAK;GDP (current US$);NY.GDP.MKTP.CD;5929231415
Panama-1965;Panama;PAN;GDP (current US$);NY.GDP.MKTP.CD;852485300
Peru-1965;Peru;PER;GDP (current US$);NY.GDP.MKTP.CD;5166861068
Philippines-1965;Philippines;PHL;GDP (current US$);NY.GDP.MKTP.CD;5784398976
Palau-1965;Palau;PLW;GDP (current US$);NY.GDP.MKTP.CD;
Papua New Guinea-1965;Papua New Guinea;PNG;GDP (current US$);NY.GDP.MKTP.CD;344159480
Poland-1965;Poland;POL;GDP (current US$);NY.GDP.MKTP.CD;
Pre-demographic dividend-1965;Pre-demographic dividend;PRE;GDP (current US$);NY.GDP.MKTP.CD;15501370622
Puerto Rico-1965;Puerto Rico;PRI;GDP (current US$);NY.GDP.MKTP.CD;2881500000
Korea-1965;Korea;PRK;GDP (current US$);NY.GDP.MKTP.CD;
Portugal-1965;Portugal;PRT;GDP (current US$);NY.GDP.MKTP.CD;4687464054
Paraguay-1965;Paraguay;PRY;GDP (current US$);NY.GDP.MKTP.CD;443587301
West Bank and Gaza-1965;West Bank and Gaza;PSE;GDP (current US$);NY.GDP.MKTP.CD;
Pacific island small states-1965;Pacific island small states;PSS;GDP (current US$);NY.GDP.MKTP.CD;
Post-demographic dividend-1965;Post-demographic dividend;PST;GDP (current US$);NY.GDP.MKTP.CD;1519391440804
French Polynesia-1965;French Polynesia;PYF;GDP (current US$);NY.GDP.MKTP.CD;176534589
Qatar-1965;Qatar;QAT;GDP (current US$);NY.GDP.MKTP.CD;
Romania-1965;Romania;ROU;GDP (current US$);NY.GDP.MKTP.CD;
Russian Federation-1965;Russian Federation;RUS;GDP (current US$);NY.GDP.MKTP.CD;
Rwanda-1965;Rwanda;RWA;GDP (current US$);NY.GDP.MKTP.CD;148799980
South Asia-1965;South Asia;SAS;GDP (current US$);NY.GDP.MKTP.CD;74298708606
Saudi Arabia-1965;Saudi Arabia;SAU;GDP (current US$);NY.GDP.MKTP.CD;
Sudan-1965;Sudan;SDN;GDP (current US$);NY.GDP.MKTP.CD;1679333333
Senegal-1965;Senegal;SEN;GDP (current US$);NY.GDP.MKTP.CD;1210058396
Singapore-1965;Singapore;SGP;GDP (current US$);NY.GDP.MKTP.CD;974650463
Solomon Islands-1965;Solomon Islands;SLB;GDP (current US$);NY.GDP.MKTP.CD;
Sierra Leone-1965;Sierra Leone;SLE;GDP (current US$);NY.GDP.MKTP.CD;359379856
El Salvador-1965;El Salvador;SLV;GDP (current US$);NY.GDP.MKTP.CD;877720000
San Marino-1965;San Marino;SMR;GDP (current US$);NY.GDP.MKTP.CD;
Somalia-1965;Somalia;SOM;GDP (current US$);NY.GDP.MKTP.CD;243724533
Serbia-1965;Serbia;SRB;GDP (current US$);NY.GDP.MKTP.CD;
Sub-Saharan Africa (excluding high income)-1965;Sub-Saharan Africa (excluding high income);SSA;GDP (current US$);NY.GDP.MKTP.CD;41763183885
South Sudan-1965;South Sudan;SSD;GDP (current US$);NY.GDP.MKTP.CD;
Sub-Saharan Africa-1965;Sub-Saharan Africa;SSF;GDP (current US$);NY.GDP.MKTP.CD;41973341059
Small states-1965;Small states;SST;GDP (current US$);NY.GDP.MKTP.CD;
Sao Tome and Principe-1965;Sao Tome and Principe;STP;GDP (current US$);NY.GDP.MKTP.CD;
Suriname-1965;Suriname;SUR;GDP (current US$);NY.GDP.MKTP.CD;154150000
Slovak Republic-1965;Slovak Republic;SVK;GDP (current US$);NY.GDP.MKTP.CD;
Slovenia-1965;Slovenia;SVN;GDP (current US$);NY.GDP.MKTP.CD;
Sweden-1965;Sweden;SWE;GDP (current US$);NY.GDP.MKTP.CD;24795499685
Eswatini-1965;Eswatini;SWZ;GDP (current US$);NY.GDP.MKTP.CD;70278594
Sint Maarten (Dutch part)-1965;Sint Maarten (Dutch part);SXM;GDP (current US$);NY.GDP.MKTP.CD;
Seychelles-1965;Seychelles;SYC;GDP (current US$);NY.GDP.MKTP.CD;15603032
Syrian Arab Republic-1965;Syrian Arab Republic;SYR;GDP (current US$);NY.GDP.MKTP.CD;1472036550
Turks and Caicos Islands-1965;Turks and Caicos Islands;TCA;GDP (current US$);NY.GDP.MKTP.CD;
Chad-1965;Chad;TCD;GDP (current US$);NY.GDP.MKTP.CD;416926302
East Asia & Pacific (IDA & IBRD countries)-1965;East Asia & Pacific (IDA & IBRD countries);TEA;GDP (current US$);NY.GDP.MKTP.CD;94386870181
Europe & Central Asia (IDA & IBRD countries)-1965;Europe & Central Asia (IDA & IBRD countries);TEC;GDP (current US$);NY.GDP.MKTP.CD;
Togo-1965;Togo;TGO;GDP (current US$);NY.GDP.MKTP.CD;187300336
Thailand-1965;Thailand;THA;GDP (current US$);NY.GDP.MKTP.CD;4388937649
Tajikistan-1965;Tajikistan;TJK;GDP (current US$);NY.GDP.MKTP.CD;
Turkmenistan-1965;Turkmenistan;TKM;GDP (current US$);NY.GDP.MKTP.CD;
Latin America & the Caribbean (IDA & IBRD countries)-1965;Latin America & the Caribbean (IDA & IBRD countries);TLA;GDP (current US$);NY.GDP.MKTP.CD;110871922979
Timor-Leste-1965;Timor-Leste;TLS;GDP (current US$);NY.GDP.MKTP.CD;
Middle East & North Africa (IDA & IBRD countries)-1965;Middle East & North Africa (IDA & IBRD countries);TMN;GDP (current US$);NY.GDP.MKTP.CD;
Tonga-1965;Tonga;TON;GDP (current US$);NY.GDP.MKTP.CD;
South Asia (IDA & IBRD)-1965;South Asia (IDA & IBRD);TSA;GDP (current US$);NY.GDP.MKTP.CD;74298708606
Sub-Saharan Africa (IDA & IBRD countries)-1965;Sub-Saharan Africa (IDA & IBRD countries);TSS;GDP (current US$);NY.GDP.MKTP.CD;41973341059
Trinidad and Tobago-1965;Trinidad and Tobago;TTO;GDP (current US$);NY.GDP.MKTP.CD;736568861
Tunisia-1965;Tunisia;TUN;GDP (current US$);NY.GDP.MKTP.CD;991047619
Turkey-1965;Turkey;TUR;GDP (current US$);NY.GDP.MKTP.CD;11966666666
Tuvalu-1965;Tuvalu;TUV;GDP (current US$);NY.GDP.MKTP.CD;
Tanzania-1965;Tanzania;TZA;GDP (current US$);NY.GDP.MKTP.CD;
Uganda-1965;Uganda;UGA;GDP (current US$);NY.GDP.MKTP.CD;884873949
Ukraine-1965;Ukraine;UKR;GDP (current US$);NY.GDP.MKTP.CD;
Upper middle income-1965;Upper middle income;UMC;GDP (current US$);NY.GDP.MKTP.CD;281617106855
Uruguay-1965;Uruguay;URY;GDP (current US$);NY.GDP.MKTP.CD;1890769326
United States-1965;United States;USA;GDP (current US$);NY.GDP.MKTP.CD;744000000000
Uzbekistan-1965;Uzbekistan;UZB;GDP (current US$);NY.GDP.MKTP.CD;
St. Vincent and the Grenadines-1965;St. Vincent and the Grenadines;VCT;GDP (current US$);NY.GDP.MKTP.CD;15108207
Venezuela-1965;Venezuela;VEN;GDP (current US$);NY.GDP.MKTP.CD;8427777777
British Virgin Islands-1965;British Virgin Islands;VGB;GDP (current US$);NY.GDP.MKTP.CD;
Virgin Islands (U.S.)-1965;Virgin Islands (U.S.);VIR;GDP (current US$);NY.GDP.MKTP.CD;
Vietnam-1965;Vietnam;VNM;GDP (current US$);NY.GDP.MKTP.CD;
Vanuatu-1965;Vanuatu;VUT;GDP (current US$);NY.GDP.MKTP.CD;
World-1965;World;WLD;GDP (current US$);NY.GDP.MKTP.CD;1966277080224
Samoa-1965;Samoa;WSM;GDP (current US$);NY.GDP.MKTP.CD;
Kosovo-1965;Kosovo;XKX;GDP (current US$);NY.GDP.MKTP.CD;
Yemen-1965;Yemen;YEM;GDP (current US$);NY.GDP.MKTP.CD;
South Africa-1965;South Africa;ZAF;GDP (current US$);NY.GDP.MKTP.CD;11334395470
Zambia-1965;Zambia;ZMB;GDP (current US$);NY.GDP.MKTP.CD;1082857142
Zimbabwe-1965;Zimbabwe;ZWE;GDP (current US$);NY.GDP.MKTP.CD;1311435800
